A_ID,B_ID
1156869775584190464,811704294743359493
1142690226218946560,913320383528538112
1139297142630178816,864663235923820545
1120633726478823425,887052266741616640
1120633726478823425,845795943479959552
1120633726478823425,839734220620722176
1117704370630455296,813314931147816960
1114906616011350018,950537289356099584
1098819491780153345,813314931147816960
1096205507348623360,848180033688612864
1095050114027016192,822591807821381635
1089151295397621760,922294461186453504
1087380412089987077,825765275853344773
1073606435580325889,875612784863531008
1066773270773547008,888542179081277443
1060338999611420672,896989600798826498
1032523656818294784,989410325022863362
1031332700324540417,940778288871542786
1015196564690743296,871676753919578112
1015196564690743296,871676753919578112
1009892540114403328,966724209773858826
1009577803304656896,822591807821381635
958729147408310272,921243130262728704
950563187296030721,977002392368680960
950563187296030721,932315271372726272
947924373029171200,737049250366820356
945693405694357504,732736108061020161
938494109844729856,817086280597209089
938494109844729856,817086280597209089
931934652490829824,898317114754334721
926164634570067968,822591807821381635
926164634570067968,715617989656051712
926005149104988160,761819600568717312
924010172376260609,707013008812146688
920339307533144065,925436774096261120
889522784916910080,940778288871542786
880412538625810432,976948534053343233
879147821915615233,746746178260205569
868673067223887872,713118204453851138
868673067223887872,713118204453851138
848148994102611969,940778288871542786
848148994102611969,928269303761158145
846454000585244672,908133204569346048
832616065259614209,940778288871542786
825062760954355713,940778288871542786
820243619609243649,822506767502426116
797179922087297024,900733668779544578
795843492790444032,940778288871542786
788560328640503808,710613226807885824
788532504626012160,722045213301051392
786747937883906049,804582780298412032
769928202424684544,981436419087523840
759481842814726144,746377806754394116
748453510048518145,774510439824822273
738786290313920513,749005051180355584
732521058507620356,752532893587558400
711608180535640064,845793138321113088
701844034755633157,788835278085578752
4894738653,1249987495464505344
4878610324,1261645162939330560
4823944600,1280885680831332353
4725383142,1381717490124816386
4216062853,1401861298233647106
4118285112,1305795361336770560
4043106914,1249588897547300864
3930472251,1247298726554521601
3833059037,1175393730054017024
3695759352,1380949455780859909
3453306553,1493422299462402052
3453306553,1401861298233647106
3453306553,1395904932113383425
3453306553,1329590133264326656
3453306553,1269018935371771904
3453306553,1236491189492174848
3453306553,1214489977762959362
3383159573,1240682348120866816
3383159573,1132012546637090816
3380282686,1449753135791190016
3342600166,1387010761994682371
3342600166,1387010761994682371
3303457302,1034875037877186560
3295811435,1359796402394714112
3282955777,1427453911070347267
3277891994,1214297100214620160
3246790436,1307213540634230784
3246790436,1268023502344384513
3140730672,1401861298233647106
3140730672,1217939176701616128
3131144855,1222196905947680768
3095991935,1467925790096388098
3042887648,1201551790744965127
3001123090,1193613424783249409
2986235404,1375127026840039424
2985479932,1008340728114601984
2899264434,1353951913650266113
2885493519,1379013583074394112
2885493519,1349922686898724864
2885493519,1221462414744596483
2880610310,1277735065737326592
2879240488,1488591891797090304
2876041031,1485579898496376842
2847815166,1427453911070347267
2841826715,1114440226334703616
2826798206,1340798360652046336
2809959174,1355511416720076804
2799946720,1389498948109352963
2781906361,1226826354353508355
2692751172,1360035053464547335
2615581908,1317697028873281538
2613791900,1387010761994682371
2608740770,1456071062672736260
2608740770,1248772656435871744
2605334749,1476701921893257236
2545160880,1401861298233647106
2537386628,1117244238247280640
2475407894,1368799567190237188
