hastag_H	cluster_C_leader	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_tweets_in_C	count_H_entire_dataset	count_tweets_entire_dataset
OTD                                   388618787            1.35646  0.81818  .60317427894435819919  36    44     29529  48956
ม็อบชาวนา                              1264114113925402624  1.70665  1.02941  .60317427894435819919  35    34     29529  48956
Ukriane                               199452338            0.34955  0.21084  .60317427894435819919  35    166    29529  48956
Sumy                                  870244616003403781   0.93592  0.56452  .60317427894435819919  35    62     29529  48956
StandWithUkriane                      199452338            0.49175  0.29661  .60317427894435819919  35    118    29529  48956
IStandWithUkraine                     199452338            0.63766  0.38462  .60317427894435819919  35    91     29529  48956
Auschwitz                             1308267623327518725  0.68266  0.41176  .60317427894435819919  35    85     29529  48956
abed                                  118166719            0.51809  0.31250  .60317427894435819919  35    112    29529  48956
StormEunice                           29447428             1.17434  0.70833  .60317427894435819919  34    48     29529  48956
Johnson                               711608180535640064   0.03714  0.02240  .60317427894435819919  34    1518   29529  48956
January6th                            1263391922657337345  0.64791  0.39080  .60317427894435819919  34    87     29529  48956
FUREVERHOME                           1060440219097423872  1.65790  1.00000  .60317427894435819919  34    34     29529  48956
FreedomConvoy2022                     86010091             1.22540  0.73913  .60317427894435819919  34    46     29529  48956
FreedomConvoy                         86010091             0.52681  0.31776  .60317427894435819919  34    107    29529  48956
TheWeekInTory                         2332033299           1.65790  1.00000  .60317427894435819919  33    33     29529  48956
OOTT                                  3231054096           1.65790  1.00000  .60317427894435819919  33    33     29529  48956
NYC                                   1060440219097423872  0.34194  0.20625  .60317427894435819919  33    160    29529  48956
MECFS                                 139109800            1.16406  0.70213  .60317427894435819919  33    47     29529  48956
corsirosenthalbox                     118166719            1.40283  0.84615  .60317427894435819919  33    39     29529  48956
UkraineInvasion                       1229752606714728454  0.30490  0.18391  .60317427894435819919  32    174    29529  48956
FourFights                            77726331             1.65790  1.00000  .60317427894435819919  32    32     29529  48956
โอห์มฟลุ้คฟีเวอร์2021                      177400353            1.65790  1.00000  .60317427894435819919  31    31     29529  48956
โอห์มฟลุ้ค                               177400353            0.61185  0.36905  .60317427894435819919  31    84     29529  48956
Zaporizhzhia                          1028022611324747776  1.14211  0.68889  .60317427894435819919  31    45     29529  48956
WeRemember                            1308267623327518725  1.09350  0.65957  .60317427894435819919  31    47     29529  48956
Ukrainians                            870244616003403781   0.14158  0.08540  .60317427894435819919  31    363    29529  48956
KetanjiBrownJackson                   614600545            0.71382  0.43056  .60317427894435819919  31    72     29529  48956
bbcqt                                 29447428             1.60609  0.96875  .60317427894435819919  31    32     29529  48956
ausvotes                              1496792408792903684  1.55741  0.93939  .60317427894435819919  31    33     29529  48956
Alberta                               118166719            0.08467  0.05107  .60317427894435819919  31    607    29529  48956
vegan                                 1060440219097423872  0.74234  0.44776  .60317427894435819919  30    67     29529  48956
Texas                                 1155192156           0.14981  0.09036  .60317427894435819919  30    332    29529  48956
TEN                                   1261203450022359043  0.23572  0.14218  .60317427894435819919  30    211    29529  48956
PutinIsaWarCriminal                   870244616003403781   0.84299  0.50847  .60317427894435819919  30    59     29529  48956
London                                199452338            0.16201  0.09772  .60317427894435819919  30    307    29529  48956
