hastag_H	cluster_C_leader	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_tweets_in_C	count_H_entire_dataset	count_tweets_entire_dataset
Pegasus                               578601744            0.72533  0.43750  .60317427894435819919  7     16     29529  48956
Olympics                              302984766            0.12615  0.07609  .60317427894435819919  7     92     29529  48956
NoFlyZoneOverUkraine                  578601744            0.61080  0.36842  .60317427894435819919  7     19     29529  48956
NEWS                                  1308267623327518725  0.09067  0.05469  .60317427894435819919  7     128    29529  48956
NeverTrustNewsCorp                    1496792408792903684  1.45066  0.87500  .60317427894435819919  7     8      29529  48956
NCT                                   1261203450022359043  0.36266  0.21875  .60317427894435819919  7     32     29529  48956
NBAPlayoffs                           614600545            0.61080  0.36842  .60317427894435819919  7     19     29529  48956
NatureBeauty                          1472366361322024966  1.65790  1.00000  .60317427894435819919  7     7      29529  48956
Nature                                1060440219097423872  0.15898  0.09589  .60317427894435819919  7     73     29529  48956
NationalityAndBordersBill             711608180535640064   1.65790  1.00000  .60317427894435819919  7     7      29529  48956
music                                 308045021            0.06867  0.04142  .60317427894435819919  7     169    29529  48956
MuellerReport                         1028022611324747776  1.65790  1.00000  .60317427894435819919  7     7      29529  48956
MU5735                                192374137            1.65790  1.00000  .60317427894435819919  7     7      29529  48956
MSC2022                               77726331             1.65790  1.00000  .60317427894435819919  7     7      29529  48956
MPs                                   711608180535640064   0.06239  0.03763  .60317427894435819919  7     186    29529  48956
MedicareForAll                        950215424981028864   1.28948  0.77778  .60317427894435819919  7     9      29529  48956
masks                                 302984766            0.02344  0.01414  .60317427894435819919  7     495    29529  48956
MailFrontPages                        828578052942741505   1.65790  1.00000  .60317427894435819919  7     7      29529  48956
LoserTrump                            1353306974939738113  1.65790  1.00000  .60317427894435819919  7     7      29529  48956
lasvegas                              1060440219097423872  1.65790  1.00000  .60317427894435819919  7     7      29529  48956
KN95                                  578601744            0.27632  0.16667  .60317427894435819919  7     42     29529  48956
KillTheBill                           2800413166           1.28948  0.77778  .60317427894435819919  7     9      29529  48956
JusticeKetanjiBrownJackson            826615125297680384   0.96710  0.58333  .60317427894435819919  7     12     29529  48956
JussieSmollett                        614600545            1.65790  1.00000  .60317427894435819919  7     7      29529  48956
JohnsonOut_23                         527445533            1.93422  1.16667  .60317427894435819919  7     6      29529  48956
JohnsonLiedPeopleDied                 631283641            1.65790  1.00000  .60317427894435819919  7     7      29529  48956
Jews                                  1308267623327518725  0.11605  0.07000  .60317427894435819919  7     100    29529  48956
Izyum                                 578601744            0.96710  0.58333  .60317427894435819919  7     12     29529  48956
Israeli                               578601744            0.02615  0.01577  .60317427894435819919  7     444    29529  48956
Irpen                                 870244616003403781   0.89271  0.53846  .60317427894435819919  7     13     29529  48956
Ireland                               853523328            0.25790  0.15556  .60317427894435819919  7     45     29529  48956
InternationalHolocaustRemembranceDay  1308267623327518725  0.77369  0.46667  .60317427894435819919  7     15     29529  48956
IndueCard                             1496792408792903684  1.45066  0.87500  .60317427894435819919  7     8      29529  48956
IHUvariant                            832019161454817280   1.65790  1.00000  .60317427894435819919  7     7      29529  48956
HIV                                   139109800            0.42983  0.25926  .60317427894435819919  7     27     29529  48956
Habs                                  302984766            0.36266  0.21875  .60317427894435819919  7     32     29529  48956
Habeck                                77726331             1.16053  0.70000  .60317427894435819919  7     10     29529  48956
Groomers                              832019161454817280   3.86842  2.33333  .60317427894435819919  7     3      29529  48956
GoldStrike                            77726331             1.65790  1.00000  .60317427894435819919  7     7      29529  48956
GodofWar                              870970040878862337   0.82895  0.50000  .60317427894435819919  7     14     29529  48956
GMB                                   631283641            0.72533  0.43750  .60317427894435819919  7     16     29529  48956
GetVaccinated                         302984766            0.24693  0.14894  .60317427894435819919  7     47     29529  48956
Getty                                 950215424981028864   0.89271  0.53846  .60317427894435819919  7     13     29529  48956
Genocide                              578601744            0.03768  0.02273  .60317427894435819919  7     308    29529  48956
GazaUnderAttack                       41186732             1.65790  1.00000  .60317427894435819919  7     7      29529  48956
FreeWalterMasterson                   838381908656603144   2.32105  1.40000  .60317427894435819919  7     5      29529  48956
FluTruxKlanGoHome                     832019161454817280   1.45066  0.87500  .60317427894435819919  7     8      29529  48956
floods                                2886667320           0.33158  0.20000  .60317427894435819919  7     35     29529  48956
FIFA22                                195578878            1.65790  1.00000  .60317427894435819919  7     7      29529  48956
FebruDairy                            1060440219097423872  1.65790  1.00000  .60317427894435819919  7     7      29529  48956
Enerhodar                             578601744            0.82895  0.50000  .60317427894435819919  7     14     29529  48956
ElectionsBill                         711608180535640064   1.65790  1.00000  .60317427894435819919  7     7      29529  48956
DYK                                   1475643712596168706  1.16053  0.70000  .60317427894435819919  7     10     29529  48956
dotnet                                39508140             1.28948  0.77778  .60317427894435819919  7     9      29529  48956
disabled                              302984766            0.14878  0.08974  .60317427894435819919  7     78     29529  48956
DemocracyNotAutocracy                 4213849704           1.65790  1.00000  .60317427894435819919  7     7      29529  48956
DeleteSpotify                         578601744            0.77369  0.46667  .60317427894435819919  7     15     29529  48956
Crufts                                853523328            0.89271  0.53846  .60317427894435819919  7     13     29529  48956
Crimea                                870244616003403781   0.26375  0.15909  .60317427894435819919  7     44     29529  48956
Colorado                              997262774            0.28305  0.17073  .60317427894435819919  7     41     29529  48956
CloseTheSky                           950215424981028864   0.82895  0.50000  .60317427894435819919  7     14     29529  48956
ClimateReport                         2886667320           1.65790  1.00000  .60317427894435819919  7     7      29529  48956
ChildTaxCredit                        139109800            1.45066  0.87500  .60317427894435819919  7     8      29529  48956
CHESHIRE                              4757894056           1.65790  1.00000  .60317427894435819919  7     7      29529  48956
capitalism                            45379403             0.27632  0.16667  .60317427894435819919  7     42     29529  48956
Canadian                              302984766            0.02764  0.01667  .60317427894435819919  7     420    29529  48956
CanadaTruckers                        804582780298412032   0.89271  0.53846  .60317427894435819919  7     13     29529  48956
brownybabyBear                        177400353            1.65790  1.00000  .60317427894435819919  7     7      29529  48956
Boulder                               2530758806           0.50458  0.30435  .60317427894435819919  7     23     29529  48956
BorisJohnsonResign                    29447428             0.82895  0.50000  .60317427894435819919  7     14     29529  48956
bitcoin                               1921951394           1.05502  0.63636  .60317427894435819919  7     11     29529  48956
bees                                  1387010761994682371  0.48356  0.29167  .60317427894435819919  7     24     29529  48956
BBCQT                                 711608180535640064   1.16053  0.70000  .60317427894435819919  7     10     29529  48956
Barbz                                 1471037967926018051  1.45066  0.87500  .60317427894435819919  7     8      29529  48956
American                              45379403             0.01711  0.01032  .60317427894435819919  7     678    29529  48956
Albo                                  2574271742           0.04430  0.02672  .60317427894435819919  7     262    29529  48956
AdoptDontShop                         17531651             1.65790  1.00000  .60317427894435819919  7     7      29529  48956
ActOnClimate                          1060440219097423872  1.65790  1.00000  .60317427894435819919  7     7      29529  48956
8ball                                 1060440219097423872  1.65790  1.00000  .60317427894435819919  7     7      29529  48956
10ball                                1060440219097423872  1.65790  1.00000  .60317427894435819919  7     7      29529  48956
카즈하                                1264114113925402624  5.80263  3.50000  .60317427894435819919  7     2      29529  48956
재현                                  1261203450022359043  3.86842  2.33333  .60317427894435819919  7     3      29529  48956
テン                                  1261203450022359043  1.65790  1.00000  .60317427894435819919  6     6      29529  48956
อยากดูCloseFriendในโรง                 177400353            1.24342  0.75000  .60317427894435819919  6     8      29529  48956
เปิดกล้องCloseFriendSS2                 177400353            1.65790  1.00000  .60317427894435819919  6     6      29529  48956
YEG                                   1475643712596168706  0.21165  0.12766  .60317427894435819919  6     47     29529  48956
Wildfires                             2530758806           1.42105  0.85714  .60317427894435819919  6     7      29529  48956
VotingRightsForThePeople              940778288871542786   1.24342  0.75000  .60317427894435819919  6     8      29529  48956
VoteBlue2022                          1308267623327518725  0.76519  0.46154  .60317427894435819919  6     13     29529  48956
vote1Labor                            2574271742           1.65790  1.00000  .60317427894435819919  6     6      29529  48956
VOTE                                  302984766            0.12918  0.07792  .60317427894435819919  6     77     29529  48956
ViuTheDifference                      177400353            1.65790  1.00000  .60317427894435819919  6     6      29529  48956
Vintage                               1263391922657337345  1.65790  1.00000  .60317427894435819919  6     6      29529  48956
VERZUZ                                614600545            0.66316  0.40000  .60317427894435819919  6     15     29529  48956
VelshiBannedBookClub                  1028022611324747776  1.65790  1.00000  .60317427894435819919  6     6      29529  48956
veganfood                             42091962             1.65790  1.00000  .60317427894435819919  6     6      29529  48956
VaccinesWork                          302984766            0.62171  0.37500  .60317427894435819919  6     16     29529  48956
Vaccine                               29447428             0.03812  0.02299  .60317427894435819919  6     261    29529  48956
UWMAseries                            177400353            1.24342  0.75000  .60317427894435819919  6     8      29529  48956
unvaccinated                          302984766            0.08575  0.05172  .60317427894435819919  6     116    29529  48956
UnisonStrike                          77726331             1.65790  1.00000  .60317427894435819919  6     6      29529  48956
Ukrania                               870244616003403781   0.31086  0.18750  .60317427894435819919  6     32     29529  48956
UkraineConflict                       1229752606714728454  0.16307  0.09836  .60317427894435819919  6     61     29529  48956
UCUStrike                             77726331             0.66316  0.40000  .60317427894435819919  6     15     29529  48956
TuckerCarlson                         1308267623327518725  0.19129  0.11538  .60317427894435819919  6     52     29529  48956
TRUTHBILLBOARDS                       1387010761994682371  1.65790  1.00000  .60317427894435819919  6     6      29529  48956
TrumpIsACriminal                      244954523            1.42105  0.85714  .60317427894435819919  6     7      29529  48956
TrumpCoverUp                          950215424981028864   1.65790  1.00000  .60317427894435819919  6     6      29529  48956
Transnistria                          1028022611324747776  1.10527  0.66667  .60317427894435819919  6     9      29529  48956
trans                                 29188599             0.01835  0.01107  .60317427894435819919  6     542    29529  48956
TraineeA                              1264114113925402624  1.65790  1.00000  .60317427894435819919  6     6      29529  48956
ToryLiars                             631283641            1.65790  1.00000  .60317427894435819919  6     6      29529  48956
ToryBritain                           711608180535640064   1.42105  0.85714  .60317427894435819919  6     7      29529  48956
torybrexit                            711608180535640064   1.10527  0.66667  .60317427894435819919  6     9      29529  48956
Tory                                  631283641            0.02358  0.01422  .60317427894435819919  6     422    29529  48956
TORBIE                                1060440219097423872  1.65790  1.00000  .60317427894435819919  6     6      29529  48956
Tigray                                1373739644           1.24342  0.75000  .60317427894435819919  6     8      29529  48956
TheProjectTV                          1031000589054828544  1.42105  0.85714  .60317427894435819919  6     7      29529  48956
TheBachelor                           614600545            0.15790  0.09524  .60317427894435819919  6     63     29529  48956
Thailand                              1264114113925402624  0.33158  0.20000  .60317427894435819919  6     30     29529  48956
Terrorussia                           870244616003403781   1.42105  0.85714  .60317427894435819919  6     7      29529  48956
TEN_BDAY2022                          1261203450022359043  1.65790  1.00000  .60317427894435819919  6     6      29529  48956
TeaserCloseFriend2                    177400353            1.65790  1.00000  .60317427894435819919  6     6      29529  48956
Teachers                              45379403             0.15790  0.09524  .60317427894435819919  6     63     29529  48956
Taliban                               3040987923           0.32089  0.19355  .60317427894435819919  6     31     29529  48956
Supercopa                             195578878            1.65790  1.00000  .60317427894435819919  6     6      29529  48956
StarTrek                              1373739644           0.41447  0.25000  .60317427894435819919  6     24     29529  48956
StandingWithUkraine                   302984766            0.90430  0.54545  .60317427894435819919  6     11     29529  48956
Spain                                 302984766            0.17763  0.10714  .60317427894435819919  6     56     29529  48956
space                                 302984766            0.05207  0.03141  .60317427894435819919  6     191    29529  48956
ShowUsTheScience                      711608180535640064   4.97369  3.00000  .60317427894435819919  6     2      29529  48956
ShareYourWeather                      631283641            1.65790  1.00000  .60317427894435819919  6     6      29529  48956
Science                               302984766            0.06908  0.04167  .60317427894435819919  6     144    29529  48956
schools                               302984766            0.02256  0.01361  .60317427894435819919  6     441    29529  48956
SayGay                                838381908656603144   0.26884  0.16216  .60317427894435819919  6     37     29529  48956
satanic                               1387010761994682371  1.65790  1.00000  .60317427894435819919  6     6      29529  48956
SafeEdForAll                          45379403             0.49737  0.30000  .60317427894435819919  6     20     29529  48956
RussianRonJohnson                     1497976259296563200  1.65790  1.00000  .60317427894435819919  6     6      29529  48956
RRRRRRad                              578601744            0.05783  0.03488  .60317427894435819919  6     172    29529  48956
romanticism                           1373739644           1.65790  1.00000  .60317427894435819919  6     6      29529  48956
reiders                               1028022611324747776  1.65790  1.00000  .60317427894435819919  6     6      29529  48956
RaspberryPi                           39508140             1.10527  0.66667  .60317427894435819919  6     9      29529  48956
RamsHouse                             614600545            1.65790  1.00000  .60317427894435819919  6     6      29529  48956
PutinsWarCrimes                       1308267623327518725  0.90430  0.54545  .60317427894435819919  6     11     29529  48956
PutinsPuppet                          936620120255934466   1.10527  0.66667  .60317427894435819919  6     9      29529  48956
PutinsParty                           1417952253449842692  1.24342  0.75000  .60317427894435819919  6     8      29529  48956
Prague                                885212127866257410   0.66316  0.40000  .60317427894435819919  6     15     29529  48956
PLEDGE                                1060440219097423872  0.62171  0.37500  .60317427894435819919  6     16     29529  48956
PEI                                   18218403             1.10527  0.66667  .60317427894435819919  6     9      29529  48956
pedsICU                               139109800            1.65790  1.00000  .60317427894435819919  6     6      29529  48956
PatrickLyoya                          614600545            0.76519  0.46154  .60317427894435819919  6     13     29529  48956
PatKing                               4213849704           1.24342  0.75000  .60317427894435819919  6     8      29529  48956
PandoraPapers                         4213849704           1.65790  1.00000  .60317427894435819919  6     6      29529  48956
nyc                                   4213849704           0.13442  0.08108  .60317427894435819919  6     74     29529  48956
NSWFloods                             2574271742           1.65790  1.00000  .60317427894435819919  6     6      29529  48956
NROL85                                39508140             1.65790  1.00000  .60317427894435819919  6     6      29529  48956
nowar                                 45379403             0.99474  0.60000  .60317427894435819919  6     10     29529  48956
NoMasksInClRRRRRR                     832019161454817280   1.65790  1.00000  .60317427894435819919  6     6      29529  48956
NFLHonors                             614600545            0.82895  0.50000  .60317427894435819919  6     12     29529  48956
Newspoll                              1496792408792903684  1.10527  0.66667  .60317427894435819919  6     9      29529  48956
neuroscience                          144904056            1.65790  1.00000  .60317427894435819919  6     6      29529  48956
Nestle                                578601744            0.38259  0.23077  .60317427894435819919  6     26     29529  48956
my600lblife                           614600545            1.65790  1.00000  .60317427894435819919  6     6      29529  48956
MorrisonMustGo                        1031000589054828544  1.65790  1.00000  .60317427894435819919  6     6      29529  48956
Monsanto                              1387010761994682371  1.42105  0.85714  .60317427894435819919  6     7      29529  48956
MLKDay2022                            940778288871542786   1.65790  1.00000  .60317427894435819919  6     6      29529  48956
mild                                  45379403             0.04306  0.02597  .60317427894435819919  6     231    29529  48956
microclots                            139109800            0.45216  0.27273  .60317427894435819919  6     22     29529  48956
Mexico                                2530758806           0.20724  0.12500  .60317427894435819919  6     48     29529  48956
MerrickGarland                        1060440219097423872  1.65790  1.00000  .60317427894435819919  6     6      29529  48956
map                                   17531651             0.05496  0.03315  .60317427894435819919  6     181    29529  48956
longhaulers                           139109800            1.10527  0.66667  .60317427894435819919  6     9      29529  48956
Lismore                               2886667320           0.24262  0.14634  .60317427894435819919  6     41     29529  48956
LGM                                   41653384             1.42105  0.85714  .60317427894435819919  6     7      29529  48956
LEGALNAMEFRAUD                        1387010761994682371  1.65790  1.00000  .60317427894435819919  6     6      29529  48956
LEEDS                                 4757894056           1.65790  1.00000  .60317427894435819919  6     6      29529  48956
KeirStarmer                           631283641            1.42105  0.85714  .60317427894435819919  6     7      29529  48956
Kadyrov                               870244616003403781   0.34302  0.20690  .60317427894435819919  6     29     29529  48956
JohnsonTheCorruptPM                   711608180535640064   1.65790  1.00000  .60317427894435819919  6     6      29529  48956
JohnsonOut9                           711608180535640064   1.10527  0.66667  .60317427894435819919  6     9      29529  48956
JohnsonOut54                          832019161454817280   1.65790  1.00000  .60317427894435819919  6     6      29529  48956
JohnsonOut20                          527445533            1.65790  1.00000  .60317427894435819919  6     6      29529  48956
Jabapalooza                           302984766            0.71052  0.42857  .60317427894435819919  6     14     29529  48956
Initiative135                         2530758806           1.65790  1.00000  .60317427894435819919  6     6      29529  48956
IdolFanFestXMyfun                     177400353            1.65790  1.00000  .60317427894435819919  6     6      29529  48956
Hungary                               870244616003403781   0.26884  0.16216  .60317427894435819919  6     37     29529  48956
Healthcare                            302984766            0.08575  0.05172  .60317427894435819919  6     116    29529  48956
GunControlNow                         1263391922657337345  0.99474  0.60000  .60317427894435819919  6     10     29529  48956
GOPTraitors                           838381908656603144   0.99474  0.60000  .60317427894435819919  6     10     29529  48956
Getvaxxed                             838381908656603144   1.65790  1.00000  .60317427894435819919  6     6      29529  48956
gasprices                             936620120255934466   1.65790  1.00000  .60317427894435819919  6     6      29529  48956
gas                                   302984766            0.02598  0.01567  .60317427894435819919  6     383    29529  48956
Fresh                                 244954523            0.18086  0.10909  .60317427894435819919  6     55     29529  48956
French                                45379403             0.10471  0.06316  .60317427894435819919  6     95     29529  48956
FreeTheRefugees                       935349971129311233   1.65790  1.00000  .60317427894435819919  6     6      29529  48956
FreeTamara                            86010091             0.99474  0.60000  .60317427894435819919  6     10     29529  48956
FreeSpeech                            1494715792474230788  1.10527  0.66667  .60317427894435819919  6     9      29529  48956
FreedomConvoyCanada2022               86010091             0.76519  0.46154  .60317427894435819919  6     13     29529  48956
Foster                                1060440219097423872  0.30144  0.18182  .60317427894435819919  6     33     29529  48956
FillUpFriday                          938494109844729856   0.90430  0.54545  .60317427894435819919  6     11     29529  48956
FederalICAC                           826615125297680384   1.42105  0.85714  .60317427894435819919  6     7      29529  48956
Eunice                                29447428             0.16307  0.09836  .60317427894435819919  6     61     29529  48956
Ethiopia                              2530758806           1.10527  0.66667  .60317427894435819919  6     9      29529  48956
ElClásico                             195578878            1.65790  1.00000  .60317427894435819919  6     6      29529  48956
drcole                                17531651             1.10527  0.66667  .60317427894435819919  6     9      29529  48956
Dnipro                                77726331             0.66316  0.40000  .60317427894435819919  6     15     29529  48956
dkpol                                 3040987923           1.65790  1.00000  .60317427894435819919  6     6      29529  48956
disinformation                        302984766            0.10049  0.06061  .60317427894435819919  6     99     29529  48956
DamianLillard                         2530758806           1.42105  0.85714  .60317427894435819919  6     7      29529  48956
CovidIsntOver                         302984766            0.20301  0.12245  .60317427894435819919  6     49     29529  48956
Coronavirus                           45379403             0.36842  0.22222  .60317427894435819919  6     27     29529  48956
Colleyville                           1308267623327518725  0.47368  0.28571  .60317427894435819919  6     21     29529  48956
Climate                               41186732             0.02611  0.01575  .60317427894435819919  6     381    29529  48956
children                              4757894056           0.01192  0.00719  .60317427894435819919  6     835    29529  48956
CdnMediaFailed                        302984766            0.52355  0.31579  .60317427894435819919  6     19     29529  48956
cdnmedia                              302984766            0.45216  0.27273  .60317427894435819919  6     22     29529  48956
CDC                                   45379403             0.03916  0.02362  .60317427894435819919  6     254    29529  48956
CarpoolKaraoke                        1471037967926018051  1.65790  1.00000  .60317427894435819919  6     6      29529  48956
Browns                                100256670            0.26177  0.15789  .60317427894435819919  6     38     29529  48956
Brooklyn                              614600545            0.31086  0.18750  .60317427894435819919  6     32     29529  48956
BrexitShambles                        631283641            1.42105  0.85714  .60317427894435819919  6     7      29529  48956
breaking                              711608180535640064   0.05783  0.03488  .60317427894435819919  6     172    29529  48956
BOURNEMOUTH                           4757894056           1.65790  1.00000  .60317427894435819919  6     6      29529  48956
BlackTwitter                          826615125297680384   1.65790  1.00000  .60317427894435819919  6     6      29529  48956
Birth                                 1387010761994682371  0.08961  0.05405  .60317427894435819919  6     111    29529  48956
BigPowerOff                           2800413166           0.76519  0.46154  .60317427894435819919  6     13     29529  48956
BGT                                   853523328            1.10527  0.66667  .60317427894435819919  6     9      29529  48956
Berserk                               870970040878862337   1.65790  1.00000  .60317427894435819919  6     6      29529  48956
BenFrazier                            139109800            1.65790  1.00000  .60317427894435819919  6     6      29529  48956
Belgorod                              870244616003403781   0.62171  0.37500  .60317427894435819919  6     16     29529  48956
BDS                                   41186732             0.05920  0.03571  .60317427894435819919  6     168    29529  48956
BA5                                   1028022611324747776  1.65790  1.00000  .60317427894435819919  6     6      29529  48956
Austria                               578601744            0.39789  0.24000  .60317427894435819919  6     25     29529  48956
Arizona                               4213849704           0.23133  0.13953  .60317427894435819919  6     43     29529  48956
antiwar                               45379403             0.99474  0.60000  .60317427894435819919  6     10     29529  48956
AmazonMusic                           1471037967926018051  0.82895  0.50000  .60317427894435819919  6     12     29529  48956
ABC                                   614600545            0.03553  0.02143  .60317427894435819919  6     280    29529  48956
777TheAlbum                           1471037967926018051  1.65790  1.00000  .60317427894435819919  6     6      29529  48956
609WorkshopDay1                       177400353            1.65790  1.00000  .60317427894435819919  6     6      29529  48956
2ndOHMyLOVE                           177400353            1.65790  1.00000  .60317427894435819919  6     6      29529  48956
ออกกองCloseFriend2D3                  177400353            1.65790  1.00000  .60317427894435819919  5     5      29529  48956
โหนกระเเส                             1264114113925402624  1.65790  1.00000  .60317427894435819919  5     5      29529  48956
หมอกระต่าย                             1264114113925402624  1.65790  1.00000  .60317427894435819919  5     5      29529  48956
เปิดห้อง609Q1                           177400353            1.18422  0.71429  .60317427894435819919  5     7      29529  48956
น้องฟลุ้คกินไม่ได้                          177400353            1.65790  1.00000  .60317427894435819919  5     5      29529  48956
แตงโมต้องไม่ตายฟรี                       1264114113925402624  1.65790  1.00000  .60317427894435819919  5     5      29529  48956
คุณหนูขี้อายกับคุณชายเจ้าชู้                   177400353            1.65790  1.00000  .60317427894435819919  5     5      29529  48956
ไขมันของเจ้าแก้มก้อน                      177400353            1.65790  1.00000  .60317427894435819919  5     5      29529  48956
กระติก                                 1264114113925402624  1.65790  1.00000  .60317427894435819919  5     5      29529  48956
όχιπόλεμος                            45379403             1.65790  1.00000  .60317427894435819919  5     5      29529  48956
Zhytomyr                              192374137            0.69080  0.41667  .60317427894435819919  5     12     29529  48956
WorldWarIII                           45379403             1.38157  0.83333  .60317427894435819919  5     6      29529  48956
WithRefugees                          2530758806           1.38157  0.83333  .60317427894435819919  5     6      29529  48956
weather                               29447428             0.10907  0.06579  .60317427894435819919  5     76     29529  48956
Warsaw                                77726331             0.31883  0.19231  .60317427894435819919  5     26     29529  48956
VotingRightsNow                       1028022611324747776  0.63766  0.38462  .60317427894435819919  5     13     29529  48956
VoteTheToryCriminalsOut               631283641            1.38157  0.83333  .60317427894435819919  5     6      29529  48956
VoteBlueToSaveDemocracy               940778288871542786   1.03618  0.62500  .60317427894435819919  5     8      29529  48956
Vilnius                               192374137            1.18422  0.71429  .60317427894435819919  5     7      29529  48956
VaccinesSaveLives                     302984766            0.55263  0.33333  .60317427894435819919  5     15     29529  48956
Update                                45379403             0.02328  0.01404  .60317427894435819919  5     356    29529  48956
UNGA                                  950215424981028864   1.03618  0.62500  .60317427894435819919  5     8      29529  48956
UkraineRussiaConflict                 1229752606714728454  1.18422  0.71429  .60317427894435819919  5     7      29529  48956
UCU                                   77726331             0.02792  0.01684  .60317427894435819919  5     297    29529  48956
UCP                                   18218403             0.04004  0.02415  .60317427894435819919  5     207    29529  48956
txwx                                  977710998            1.65790  1.00000  .60317427894435819919  5     5      29529  48956
txed                                  1155192156           1.65790  1.00000  .60317427894435819919  5     5      29529  48956
TwitterNatureCommunity                2332033299           1.38157  0.83333  .60317427894435819919  5     6      29529  48956
tuesdayvibe                           244954523            1.65790  1.00000  .60317427894435819919  5     5      29529  48956
TuckyoRose                            940778288871542786   1.18422  0.71429  .60317427894435819919  5     7      29529  48956
Tsunami                               29447428             0.51809  0.31250  .60317427894435819919  5     16     29529  48956
TrudeauNationalDisgrace               804582780298412032   0.37679  0.22727  .60317427894435819919  5     22     29529  48956
TruckerConvoy2022                     804582780298412032   0.41447  0.25000  .60317427894435819919  5     20     29529  48956
TrayvonMartin                         41186732             1.65790  1.00000  .60317427894435819919  5     5      29529  48956
TraeYoung                             2530758806           0.34539  0.20833  .60317427894435819919  5     24     29529  48956
ToryLies                              2332033299           1.65790  1.00000  .60317427894435819919  5     5      29529  48956
ToRE                                  2530758806           1.65790  1.00000  .60317427894435819919  5     5      29529  48956
Thread                                804582780298412032   0.08726  0.05263  .60317427894435819919  5     95     29529  48956
Tennessee                             614600545            0.37679  0.22727  .60317427894435819919  5     22     29529  48956
TedCruzIsPathetic                     936620120255934466   8.28948  5.00000  .60317427894435819919  5     1      29529  48956
TeamJustice                           1921951394           1.65790  1.00000  .60317427894435819919  5     5      29529  48956
SURREY                                4757894056           1.65790  1.00000  .60317427894435819919  5     5      29529  48956
StormHour                             977710998            0.82895  0.50000  .60317427894435819919  5     10     29529  48956
StormFranklin                         29447428             1.65790  1.00000  .60317427894435819919  5     5      29529  48956
StopTheGrind                          29447428             1.38157  0.83333  .60317427894435819919  5     6      29529  48956
Starstruck                            29447428             1.38157  0.83333  .60317427894435819919  5     6      29529  48956
specialguestของโอห์มไง                 177400353            1.65790  1.00000  .60317427894435819919  5     5      29529  48956
SpaceX                                885212127866257410   0.55263  0.33333  .60317427894435819919  5     15     29529  48956
SMTreatTENBetter                      1261203450022359043  1.03618  0.62500  .60317427894435819919  5     8      29529  48956
SkyNews                               631283641            0.07971  0.04808  .60317427894435819919  5     104    29529  48956
SIAMESE                               1060440219097423872  1.65790  1.00000  .60317427894435819919  5     5      29529  48956
SeizeTheYachts                        1921951394           1.65790  1.00000  .60317427894435819919  5     5      29529  48956
Seattle                               2530758806           0.23027  0.13889  .60317427894435819919  5     36     29529  48956
ScrapNHSBill                          4757894056           1.65790  1.00000  .60317427894435819919  5     5      29529  48956
ScottyDoesNothing                     3453306553           0.34539  0.20833  .60317427894435819919  5     24     29529  48956
Savile                                631283641            0.36041  0.21739  .60317427894435819919  5     23     29529  48956
SaveWomensSports                      29188599             1.38157  0.83333  .60317427894435819919  5     6      29529  48956
SaveMariupol                          578601744            1.65790  1.00000  .60317427894435819919  5     5      29529  48956
SAVASAHAYIR                           45379403             1.65790  1.00000  .60317427894435819919  5     5      29529  48956
SaudiArabia                           3231054096           1.18422  0.71429  .60317427894435819919  5     7      29529  48956
SarahPalin                            940778288871542786   1.18422  0.71429  .60317427894435819919  5     7      29529  48956
russiaukrainewar                      578601744            1.65790  1.00000  .60317427894435819919  5     5      29529  48956
RussianAggression                     77726331             0.55263  0.33333  .60317427894435819919  5     15     29529  48956
RunningOutTheClock                    1060440219097423872  1.65790  1.00000  .60317427894435819919  5     5      29529  48956
RuleItAll                             614600545            1.38157  0.83333  .60317427894435819919  5     6      29529  48956
RomanAbramovich                       853523328            1.65790  1.00000  .60317427894435819919  5     5      29529  48956
Roman                                 2332033299           0.08374  0.05051  .60317427894435819919  5     99     29529  48956
RIP                                   29447428             0.09752  0.05882  .60317427894435819919  5     85     29529  48956
Resistance                            950215424981028864   0.19278  0.11628  .60317427894435819919  5     43     29529  48956
Resist                                4213849704           0.03188  0.01923  .60317427894435819919  5     260    29529  48956
ResidentEvil                          870970040878862337   1.65790  1.00000  .60317427894435819919  5     5      29529  48956
Rescue                                1060440219097423872  0.18021  0.10870  .60317427894435819919  5     46     29529  48956
Repost                                1060440219097423872  0.92106  0.55556  .60317427894435819919  5     9      29529  48956
repin                                 1373739644           1.18422  0.71429  .60317427894435819919  5     7      29529  48956
RelistWolves                          2530758806           1.38157  0.83333  .60317427894435819919  5     6      29529  48956
ReligiousDiscriminationBill           1031000589054828544  1.38157  0.83333  .60317427894435819919  5     6      29529  48956
RefugeesWelcome                       578601744            0.59210  0.35714  .60317427894435819919  5     14     29529  48956
Refugees                              2530758806           0.09314  0.05618  .60317427894435819919  5     89     29529  48956
REBH26th                              870970040878862337   1.65790  1.00000  .60317427894435819919  5     5      29529  48956
RealityWinner                         1060440219097423872  0.82895  0.50000  .60317427894435819919  5     10     29529  48956
PutinIsLying                          1060440219097423872  1.65790  1.00000  .60317427894435819919  5     5      29529  48956
ProtectUАSky                          870244616003403781   1.65790  1.00000  .60317427894435819919  5     5      29529  48956
PostcardsToVoters                     950215424981028864   1.65790  1.00000  .60317427894435819919  5     5      29529  48956
Portugal                              832019161454817280   0.59210  0.35714  .60317427894435819919  5     14     29529  48956
